Дата операции,Номер пп,Тип операции,Наименование контрагента,ИНН контрагента,КПП контрагента,Расчетный счет контрагента,БИК банка контрагента,Банк контрагента,Назначение платежа,Сумма дебет (руб.),Сумма кредит (руб.),Валюта,Остаток на конец дня (руб.),Категория
01.01.2025,1,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,26318.00,RUB,276318.00,Выручка
01.01.2025,2,Расход,ООО «Мясной Двор»,5044119988,504401001,,,,"Оплата за продукты питания, накладная от 01.01.2025. В т.ч. НДС",79722.00,,RUB,196596.00,Продукты
02.01.2025,3,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,50469.00,RUB,247065.00,Выручка
02.01.2025,4,Расход,ИП Тарасов В. Г.,770912345678,,,,,Аренда помещения общепита за 01.2025. НДС не облагается,180000.00,,RUB,67065.00,Аренда
03.01.2025,5,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,55278.00,RUB,122343.00,Выручка
03.01.2025,6,Расход,ООО «Мясной Двор»,5044119988,504401001,,,,"Оплата за продукты питания, накладная от 03.01.2025. В т.ч. НДС",67855.00,,RUB,54488.00,Продукты
04.01.2025,7,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,72099.00,RUB,126587.00,Выручка
05.01.2025,8,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,35956.00,RUB,162543.00,Выручка
06.01.2025,9,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,33220.00,RUB,195763.00,Выручка
06.01.2025,10,Расход,ООО «ПродОпт Свежесть»,5029223311,502901001,,,,"Оплата за продукты питания, накладная от 06.01.2025. В т.ч. НДС",29161.00,,RUB,166602.00,Продукты
07.01.2025,11,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,41454.00,RUB,208056.00,Выручка
08.01.2025,12,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,24999.00,RUB,233055.00,Выручка
08.01.2025,13,Расход,ООО «Метро Кэш энд Керри»,7704218694,997750001,,,,"Оплата за продукты питания, накладная от 08.01.2025. В т.ч. НДС",48424.00,,RUB,184631.00,Продукты
09.01.2025,14,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,36209.00,RUB,220840.00,Выручка
10.01.2025,15,Приход,АО «ТБАНК» (эквайринг),7710140679,,,044525974,АО «ТБАНК»,Зачисление по операциям эквайринга. НДС не облагается,,40047.00,RUB,260887.00,Выручка
10.01.2025,16,Расход,ООО «Метро Кэш энд Керри»,7704218694,997750001,,,,"Оплата за продукты питания, накладная от 10.01.2025. В т.ч. НДС",41128.00,,RUB,219759.00,Продукты
10.01.2025,17,Расход,ООО «Кафе Уют» // Николаев Р. А.,,,,,,аванс за 01.2025,32804.00,,RUB,186955.00,Зарплата
10.01.2025,18,Расход,ООО «Кафе Уют» // Егорова Т. С.,,,,,,аванс за 01.2025,24328.00,,RUB,162627.00,Зарплата
