Дата операции;Номер пп;Тип операции;Наименование контрагента;ИНН контрагента;КПП контрагента;Расчетный счет контрагента;БИК банка контрагента;Банк контрагента;Назначение платежа;Сумма дебет (руб.);Сумма кредит (руб.);Валюта;Остаток на конец дня (руб.);Категория
01.01.2025;1;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;29662.00;RUB;279662.00;Выручка
01.01.2025;2;Расход;ООО «ПродОпт Свежесть»;5029223311;502901001;;;;Оплата за продукты питания, накладная от 01.01.2025. В т.ч. НДС;57559.00;;RUB;222103.00;Продукты
02.01.2025;3;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;30567.00;RUB;252670.00;Выручка
02.01.2025;4;Расход;ИП Тарасов В. Г.;770912345678;;;;;Аренда помещения общепита за 01.2025. НДС не облагается;180000.00;;RUB;72670.00;Аренда
03.01.2025;5;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;41736.00;RUB;114406.00;Выручка
03.01.2025;6;Расход;ООО «Метро Кэш энд Керри»;7704218694;997750001;;;;Оплата за продукты питания, накладная от 03.01.2025. В т.ч. НДС;78056.00;;RUB;36350.00;Продукты
04.01.2025;7;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;55830.00;RUB;92180.00;Выручка
05.01.2025;8;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;74560.00;RUB;166740.00;Выручка
06.01.2025;9;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;52629.00;RUB;219369.00;Выручка
06.01.2025;10;Расход;ООО «Метро Кэш энд Керри»;7704218694;997750001;;;;Оплата за продукты питания, накладная от 06.01.2025. В т.ч. НДС;28838.00;;RUB;190531.00;Продукты
07.01.2025;11;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;26819.00;RUB;217350.00;Выручка
08.01.2025;12;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;41833.00;RUB;259183.00;Выручка
08.01.2025;13;Расход;ООО «Мясной Двор»;5044119988;504401001;;;;Оплата за продукты питания, накладная от 08.01.2025. В т.ч. НДС;78159.00;;RUB;181024.00;Продукты
09.01.2025;14;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;24118.00;RUB;205142.00;Выручка
10.01.2025;15;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;37164.00;RUB;242306.00;Выручка
10.01.2025;16;Расход;ООО «Мясной Двор»;5044119988;504401001;;;;Оплата за продукты питания, накладная от 10.01.2025. В т.ч. НДС;77437.00;;RUB;164869.00;Продукты
10.01.2025;17;Расход;ООО «Кафе Уют» // Николаев Р. А.;;;;;;аванс за 01.2025;34108.00;;RUB;130761.00;Зарплата
10.01.2025;18;Расход;ООО «Кафе Уют» // Егорова Т. С.;;;;;;аванс за 01.2025;34546.00;;RUB;96215.00;Зарплата
10.01.2025;19;Расход;ООО «Кафе Уют» // Павлов Д. И.;;;;;;аванс за 01.2025;32948.00;;RUB;63267.00;Зарплата
10.01.2025;20;Расход;ООО «Кафе Уют» // Сидорова М. В.;;;;;;аванс за 01.2025;22094.00;;RUB;41173.00;Зарплата
10.01.2025;21;Расход;ООО «Кафе Уют» // Козлов А. А.;;;;;;аванс за 01.2025;23712.00;;RUB;17461.00;Зарплата
10.01.2025;22;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;;;;;аванс за 01.2025;27660.00;;RUB;-10199.00;Зарплата
11.01.2025;23;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;37488.00;RUB;27289.00;Выручка
12.01.2025;24;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;69432.00;RUB;96721.00;Выручка
13.01.2025;25;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;31953.00;RUB;128674.00;Выручка
13.01.2025;26;Расход;ООО «ПродОпт Свежесть»;5029223311;502901001;;;;Оплата за продукты питания, накладная от 13.01.2025. В т.ч. НДС;78783.00;;RUB;49891.00;Продукты
14.01.2025;27;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;31686.00;RUB;81577.00;Выручка
15.01.2025;28;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;22182.00;RUB;103759.00;Выручка
15.01.2025;29;Расход;ООО «Метро Кэш энд Керри»;7704218694;997750001;;;;Оплата за продукты питания, накладная от 15.01.2025. В т.ч. НДС;79846.00;;RUB;23913.00;Продукты
15.01.2025;30;Расход;АО «Мосэнергосбыт»;7736520080;770101001;;;;Оплата электроэнергии за 01.2025. В т.ч. НДС 20%;40766.00;;RUB;-16853.00;Коммуналка
16.01.2025;31;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;32123.00;RUB;15270.00;Выручка
17.01.2025;32;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;76620.00;RUB;91890.00;Выручка
17.01.2025;33;Расход;ООО «Метро Кэш энд Керри»;7704218694;997750001;;;;Оплата за продукты питания, накладная от 17.01.2025. В т.ч. НДС;39207.00;;RUB;52683.00;Продукты
18.01.2025;34;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;66001.00;RUB;118684.00;Выручка
19.01.2025;35;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;75187.00;RUB;193871.00;Выручка
20.01.2025;36;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;25897.00;RUB;219768.00;Выручка
20.01.2025;37;Расход;ООО «Метро Кэш энд Керри»;7704218694;997750001;;;;Оплата за продукты питания, накладная от 20.01.2025. В т.ч. НДС;82873.00;;RUB;136895.00;Продукты
21.01.2025;38;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;46543.00;RUB;183438.00;Выручка
22.01.2025;39;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;48384.00;RUB;231822.00;Выручка
22.01.2025;40;Расход;ООО «Метро Кэш энд Керри»;7704218694;997750001;;;;Оплата за продукты питания, накладная от 22.01.2025. В т.ч. НДС;32424.00;;RUB;199398.00;Продукты
23.01.2025;41;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;47372.00;RUB;246770.00;Выручка
24.01.2025;42;Приход;АО «ТБАНК» (эквайринг);7710140679;;;044525974;АО «ТБАНК»;Зачисление по операциям эквайринга. НДС не облагается;;38076.00;RUB;284846.00;Выручка
