Дата;Сумма;Направление;Контрагент;ИНН;Назначение платежа
01.04.2025;27176.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
02.04.2025;51468.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
02.04.2025;-180000.00;Расход;ИП Тарасов В. Г.;770912345678;Аренда помещения общепита за 04.2025. НДС не облагается
02.04.2025;-75845.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 02.04.2025. В т.ч. НДС
03.04.2025;32241.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
04.04.2025;48732.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
04.04.2025;-49404.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 04.04.2025. В т.ч. НДС
05.04.2025;52036.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
06.04.2025;61038.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
07.04.2025;24251.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
07.04.2025;-63924.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 07.04.2025. В т.ч. НДС
08.04.2025;33320.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
09.04.2025;29359.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
09.04.2025;-48873.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 09.04.2025. В т.ч. НДС
10.04.2025;29784.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
10.04.2025;-24886.00;Расход;ООО «Кафе Уют» // Николаев Р. А.;;аванс за 04.2025
10.04.2025;-29187.00;Расход;ООО «Кафе Уют» // Егорова Т. С.;;аванс за 04.2025
10.04.2025;-23231.00;Расход;ООО «Кафе Уют» // Павлов Д. И.;;аванс за 04.2025
10.04.2025;-31396.00;Расход;ООО «Кафе Уют» // Сидорова М. В.;;аванс за 04.2025
10.04.2025;-20560.00;Расход;ООО «Кафе Уют» // Козлов А. А.;;аванс за 04.2025
10.04.2025;-34869.00;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;аванс за 04.2025
11.04.2025;33490.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
11.04.2025;-37194.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 11.04.2025. В т.ч. НДС
12.04.2025;51838.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
13.04.2025;54586.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
14.04.2025;47800.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
14.04.2025;-82019.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 14.04.2025. В т.ч. НДС
15.04.2025;44329.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
15.04.2025;-52331.00;Расход;АО «Мосэнергосбыт»;7736520080;Оплата электроэнергии за 04.2025. В т.ч. НДС 20%
16.04.2025;29712.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
16.04.2025;-59664.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 16.04.2025. В т.ч. НДС
17.04.2025;48748.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
18.04.2025;49521.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
18.04.2025;-35814.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 18.04.2025. В т.ч. НДС
19.04.2025;68736.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
20.04.2025;76359.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
21.04.2025;49300.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
21.04.2025;-71988.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 21.04.2025. В т.ч. НДС
22.04.2025;29988.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
23.04.2025;54447.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
23.04.2025;-65843.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 23.04.2025. В т.ч. НДС
24.04.2025;26714.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
25.04.2025;38773.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
25.04.2025;-65212.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 25.04.2025. В т.ч. НДС
25.04.2025;-29926.00;Расход;ООО «Кафе Уют» // Николаев Р. А.;;зарплата за 04.2025
25.04.2025;-33720.00;Расход;ООО «Кафе Уют» // Егорова Т. С.;;зарплата за 04.2025
25.04.2025;-29173.00;Расход;ООО «Кафе Уют» // Павлов Д. И.;;зарплата за 04.2025
25.04.2025;-25634.00;Расход;ООО «Кафе Уют» // Сидорова М. В.;;зарплата за 04.2025
