Дата операции;Номер пп;Тип операции;Наименование контрагента;ИНН контрагента;КПП контрагента;Расчетный счет контрагента;БИК банка контрагента;Банк контрагента;Назначение платежа;Сумма дебет (руб.);Сумма кредит (руб.);Валюта;Остаток на конец дня (руб.);Категория
06.01.2025;1;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;459054.00;RUB;709054.00;Выручка-МП
06.01.2025;2;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;311002.00;RUB;1020056.00;Выручка-МП
06.01.2025;3;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;285889.00;RUB;1305945.00;Выручка-МП
06.01.2025;4;Расход;ООО «Гуанчжоу Импорт»;7743998877;774301001;;;;Предоплата за товар по договору №300/2025. В т.ч. НДС 20%;376443.00;;RUB;929502.00;Поставщики
10.01.2025;5;Расход;ООО «Маркет Стар» // Лебедев М. О.;;;;;;аванс за 01.2025;37729.00;;RUB;891773.00;Зарплата
10.01.2025;6;Расход;ООО «Маркет Стар» // Зайцева И. П.;;;;;;аванс за 01.2025;36519.00;;RUB;855254.00;Зарплата
10.01.2025;7;Расход;ООО «Маркет Стар» // Орлов С. В.;;;;;;аванс за 01.2025;24023.00;;RUB;831231.00;Зарплата
13.01.2025;8;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;432318.00;RUB;1263549.00;Выручка-МП
13.01.2025;9;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;315163.00;RUB;1578712.00;Выручка-МП
13.01.2025;10;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;377052.00;RUB;1955764.00;Выручка-МП
14.01.2025;11;Расход;ООО «СДЭК-Логистика»;5406447262;540601001;;;;Услуги доставки и фулфилмента за 01.2025. В т.ч. НДС 20%;89905.00;;RUB;1865859.00;Логистика
16.01.2025;12;Расход;ООО «СкладОпт»;5047223344;504701001;;;;Предоплата за товар по договору №301/2025. В т.ч. НДС 20%;485173.00;;RUB;1380686.00;Поставщики
18.01.2025;13;Расход;ООО «Вайлдберриз»;7721546864;500301001;;;;Оплата продвижения (реклама) за 01.2025;90085.00;;RUB;1290601.00;Реклама
20.01.2025;14;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;299841.00;RUB;1590442.00;Выручка-МП
20.01.2025;15;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;176576.00;RUB;1767018.00;Выручка-МП
20.01.2025;16;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;440821.00;RUB;2207839.00;Выручка-МП
25.01.2025;17;Расход;ООО «Маркет Стар» // Лебедев М. О.;;;;;;зарплата за 01.2025;35191.00;;RUB;2172648.00;Зарплата
25.01.2025;18;Расход;ООО «Маркет Стар» // Зайцева И. П.;;;;;;зарплата за 01.2025;31407.00;;RUB;2141241.00;Зарплата
25.01.2025;19;Расход;ООО «Маркет Стар» // Орлов С. В.;;;;;;зарплата за 01.2025;28966.00;;RUB;2112275.00;Зарплата
27.01.2025;20;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;162541.00;RUB;2274816.00;Выручка-МП
27.01.2025;21;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;462979.00;RUB;2737795.00;Выручка-МП
27.01.2025;22;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;365211.00;RUB;3103006.00;Выручка-МП
28.01.2025;23;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;НДФЛ за 01.2025;35000.00;;RUB;3068006.00;Налоги
28.01.2025;24;Расход;СФР по г. Москве и МО;7703363868;770801001;;;;Страховые взносы за 01.2025;72000.00;;RUB;2996006.00;Взносы
03.02.2025;25;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;323241.00;RUB;3319247.00;Выручка-МП
03.02.2025;26;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;304602.00;RUB;3623849.00;Выручка-МП
03.02.2025;27;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;287142.00;RUB;3910991.00;Выручка-МП
06.02.2025;28;Расход;ООО «Гуанчжоу Импорт»;7743998877;774301001;;;;Предоплата за товар по договору №300/2025. В т.ч. НДС 20%;386397.00;;RUB;3524594.00;Поставщики
10.02.2025;29;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;461862.00;RUB;3986456.00;Выручка-МП
10.02.2025;30;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;389826.00;RUB;4376282.00;Выручка-МП
10.02.2025;31;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;330889.00;RUB;4707171.00;Выручка-МП
10.02.2025;32;Расход;ООО «Маркет Стар» // Лебедев М. О.;;;;;;аванс за 02.2025;24484.00;;RUB;4682687.00;Зарплата
10.02.2025;33;Расход;ООО «Маркет Стар» // Зайцева И. П.;;;;;;аванс за 02.2025;37945.00;;RUB;4644742.00;Зарплата
10.02.2025;34;Расход;ООО «Маркет Стар» // Орлов С. В.;;;;;;аванс за 02.2025;27436.00;;RUB;4617306.00;Зарплата
