Дата операции;Номер пп;Тип операции;Наименование контрагента;ИНН контрагента;КПП контрагента;Расчетный счет контрагента;БИК банка контрагента;Банк контрагента;Назначение платежа;Сумма дебет (руб.);Сумма кредит (руб.);Валюта;Остаток на конец дня (руб.);Категория
01.01.2025;1;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;20670.00;RUB;270670.00;Выручка
02.01.2025;2;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;25989.00;RUB;296659.00;Выручка
03.01.2025;3;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;78412.00;RUB;375071.00;Выручка
03.01.2025;4;Расход;ООО «ТЦ Меридиан»;7719854120;771901001;;;;Оплата аренды торгового помещения за 01.2025. НДС не облагается;95000.00;;RUB;280071.00;Аренда
05.01.2025;5;Расход;ПАО СБЕРБАНК;7707083893;;;;;Комиссия за услуги эквайринга. НДС не облагается;9017.00;;RUB;271054.00;Комиссии
06.01.2025;6;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;33716.00;RUB;304770.00;Выручка
07.01.2025;7;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;31318.00;RUB;336088.00;Выручка
08.01.2025;8;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;22423.00;RUB;358511.00;Выручка
09.01.2025;9;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;37601.00;RUB;396112.00;Выручка
10.01.2025;10;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;66792.00;RUB;462904.00;Выручка
10.01.2025;11;Расход;ИП Петров И.С. // Смирнова А. В.;;;;;;Заработная плата (аванс) за 01.2025. НДФЛ удержан;21000.00;;RUB;441904.00;Зарплата
10.01.2025;12;Расход;ИП Петров И.С. // Кузьмина О. Н.;;;;;;Заработная плата (аванс) за 01.2025. НДФЛ удержан;21000.00;;RUB;420904.00;Зарплата
12.01.2025;13;Расход;ООО «Модный Дом Опт»;7801456712;771001001;;;;Оплата по договору поставки товара №100/2025, счёт от 12.01.2025. В т.ч. НДС 20%;212877.00;;RUB;208027.00;Поставщики
13.01.2025;14;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;64446.00;RUB;272473.00;Выручка
14.01.2025;15;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;41803.00;RUB;314276.00;Выручка
15.01.2025;16;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;51553.00;RUB;365829.00;Выручка
16.01.2025;17;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;39750.00;RUB;405579.00;Выручка
17.01.2025;18;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;;;044525225;ПАО СБЕРБАНК;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается;;54560.00;RUB;460139.00;Выручка
18.01.2025;19;Расход;ООО «Текстиль-Трейд»;5024112233;502401001;;;;Оплата по договору поставки товара №101/2025, счёт от 18.01.2025. В т.ч. НДС 20%;168796.00;;RUB;291343.00;Поставщики
