Дата;Сумма;Направление;Контрагент;ИНН;Назначение платежа
01.04.2025;42741.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
02.04.2025;49375.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
03.04.2025;23197.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
03.04.2025;-95000.00;Расход;ООО «ТЦ Меридиан»;7719854120;Оплата аренды торгового помещения за 04.2025. НДС не облагается
04.04.2025;29828.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
05.04.2025;-9965.00;Расход;ПАО СБЕРБАНК;7707083893;Комиссия за услуги эквайринга. НДС не облагается
07.04.2025;60025.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
08.04.2025;60153.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
09.04.2025;64801.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
10.04.2025;25958.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
10.04.2025;-21000.00;Расход;ИП Петров И.С. // Смирнова А. В.;;Заработная плата (аванс) за 04.2025. НДФЛ удержан
10.04.2025;-21000.00;Расход;ИП Петров И.С. // Кузьмина О. Н.;;Заработная плата (аванс) за 04.2025. НДФЛ удержан
11.04.2025;47733.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
12.04.2025;-156764.00;Расход;ООО «Модный Дом Опт»;7801456712;Оплата по договору поставки товара №100/2025, счёт от 12.04.2025. В т.ч. НДС 20%
14.04.2025;32377.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
15.04.2025;30565.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
16.04.2025;26518.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
17.04.2025;52063.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
18.04.2025;37811.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
