Дата операции;Номер пп;Тип операции;Наименование контрагента;ИНН контрагента;КПП контрагента;Расчетный счет контрагента;БИК банка контрагента;Банк контрагента;Назначение платежа;Сумма дебет (руб.);Сумма кредит (руб.);Валюта;Остаток на конец дня (руб.);Категория
05.01.2025;1;Расход;ООО «Бизнес-Парк Румянцево»;7729112233;772901001;;;;Арендная плата за офис за 01.2025. В т.ч. НДС 20%;130000.00;;RUB;120000.00;Аренда
08.01.2025;2;Приход;ООО «Гранд Девелопмент»;7736251489;773601001;;;;Оплата по договору оказания услуг №200/2025, акт от 08.01.2025. НДС не облагается (УСН);;362338.00;RUB;482338.00;Выручка
10.01.2025;3;Расход;ООО «Диджитал Сервис» // Иванов П. Р.;;;;;;Выплата: аванс за 01.2025;36176.00;;RUB;446162.00;Зарплата
10.01.2025;4;Расход;ООО «Диджитал Сервис» // Соколова Е. Д.;;;;;;Выплата: аванс за 01.2025;42766.00;;RUB;403396.00;Зарплата
10.01.2025;5;Расход;ООО «Диджитал Сервис» // Морозов А. К.;;;;;;Выплата: аванс за 01.2025;32373.00;;RUB;371023.00;Зарплата
10.01.2025;6;Расход;ООО «Диджитал Сервис» // Волкова Н. С.;;;;;;Выплата: аванс за 01.2025;31907.00;;RUB;339116.00;Зарплата
15.01.2025;7;Приход;АО «ФармаЛогистика»;7728198765;772801001;;;;Оплата по договору оказания услуг №201/2025, акт от 15.01.2025. НДС не облагается (УСН);;270312.00;RUB;609428.00;Выручка
15.01.2025;8;Расход;ООО «Яндекс»;7736207543;770601001;;;;Рекламные услуги (Яндекс.Директ) за 01.2025;109797.00;;RUB;499631.00;Подрядчики
19.01.2025;9;Расход;ИП Гусев Д.А. (фриланс-дизайн);500112223344;;;;;Услуги дизайна по договору подряда за 01.2025;47420.00;;RUB;452211.00;Подрядчики
22.01.2025;10;Приход;ООО «Северный Ветер»;7810334455;781001001;;;;Оплата по договору оказания услуг №202/2025, акт от 22.01.2025. НДС не облагается (УСН);;403288.00;RUB;855499.00;Выручка
25.01.2025;11;Расход;ООО «Диджитал Сервис» // Иванов П. Р.;;;;;;Выплата: зарплата за 01.2025;42262.00;;RUB;813237.00;Зарплата
25.01.2025;12;Расход;ООО «Диджитал Сервис» // Соколова Е. Д.;;;;;;Выплата: зарплата за 01.2025;30137.00;;RUB;783100.00;Зарплата
25.01.2025;13;Расход;ООО «Диджитал Сервис» // Морозов А. К.;;;;;;Выплата: зарплата за 01.2025;40107.00;;RUB;742993.00;Зарплата
25.01.2025;14;Расход;ООО «Диджитал Сервис» // Волкова Н. С.;;;;;;Выплата: зарплата за 01.2025;44836.00;;RUB;698157.00;Зарплата
28.01.2025;15;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;НДФЛ за 01.2025;42000.00;;RUB;656157.00;Налоги
28.01.2025;16;Расход;СФР по г. Москве и МО;7703363868;770801001;;;;Страховые взносы за 01.2025;88000.00;;RUB;568157.00;Взносы
05.02.2025;17;Расход;ООО «Бизнес-Парк Румянцево»;7729112233;772901001;;;;Арендная плата за офис за 02.2025. В т.ч. НДС 20%;130000.00;;RUB;438157.00;Аренда
08.02.2025;18;Приход;ООО «Гранд Девелопмент»;7736251489;773601001;;;;Оплата по договору оказания услуг №200/2025, акт от 08.02.2025. НДС не облагается (УСН);;260591.00;RUB;698748.00;Выручка
10.02.2025;19;Расход;ООО «Диджитал Сервис» // Иванов П. Р.;;;;;;Выплата: аванс за 02.2025;44425.00;;RUB;654323.00;Зарплата
10.02.2025;20;Расход;ООО «Диджитал Сервис» // Соколова Е. Д.;;;;;;Выплата: аванс за 02.2025;35446.00;;RUB;618877.00;Зарплата
10.02.2025;21;Расход;ООО «Диджитал Сервис» // Морозов А. К.;;;;;;Выплата: аванс за 02.2025;42459.00;;RUB;576418.00;Зарплата
10.02.2025;22;Расход;ООО «Диджитал Сервис» // Волкова Н. С.;;;;;;Выплата: аванс за 02.2025;35642.00;;RUB;540776.00;Зарплата
