Дата,Сумма,Направление,Контрагент,ИНН,Назначение платежа
05.04.2025,-130000.00,Расход,ООО «Бизнес-Парк Румянцево»,7729112233,Арендная плата за офис за 04.2025. В т.ч. НДС 20%
08.04.2025,310878.00,Приход,ООО «Гранд Девелопмент»,7736251489,"Оплата по договору оказания услуг №200/2025, акт от 08.04.2025. НДС не облагается (УСН)"
10.04.2025,-36710.00,Расход,ООО «Диджитал Сервис» // Иванов П. Р.,,Выплата: аванс за 04.2025
10.04.2025,-38220.00,Расход,ООО «Диджитал Сервис» // Соколова Е. Д.,,Выплата: аванс за 04.2025
10.04.2025,-33694.00,Расход,ООО «Диджитал Сервис» // Морозов А. К.,,Выплата: аванс за 04.2025
10.04.2025,-41809.00,Расход,ООО «Диджитал Сервис» // Волкова Н. С.,,Выплата: аванс за 04.2025
15.04.2025,344805.00,Приход,АО «ФармаЛогистика»,7728198765,"Оплата по договору оказания услуг №201/2025, акт от 15.04.2025. НДС не облагается (УСН)"
15.04.2025,-123307.00,Расход,ООО «Яндекс»,7736207543,Рекламные услуги (Яндекс.Директ) за 04.2025
19.04.2025,-56648.00,Расход,ИП Гусев Д.А. (фриланс-дизайн),500112223344,Услуги дизайна по договору подряда за 04.2025
22.04.2025,346584.00,Приход,ООО «Северный Ветер»,7810334455,"Оплата по договору оказания услуг №202/2025, акт от 22.04.2025. НДС не облагается (УСН)"
25.04.2025,-34530.00,Расход,ООО «Диджитал Сервис» // Иванов П. Р.,,Выплата: зарплата за 04.2025
25.04.2025,-36398.00,Расход,ООО «Диджитал Сервис» // Соколова Е. Д.,,Выплата: зарплата за 04.2025
25.04.2025,-29085.00,Расход,ООО «Диджитал Сервис» // Морозов А. К.,,Выплата: зарплата за 04.2025
25.04.2025,-39948.00,Расход,ООО «Диджитал Сервис» // Волкова Н. С.,,Выплата: зарплата за 04.2025
28.04.2025,-42000.00,Расход,УФК по г. Москве (ИФНС России),7727406020,НДФЛ за 04.2025
